algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
SA,INF295,31,50.00000000000001,52,98.11320754716981,0.15595126152038574,2026-02-16T17:05:45.045045,2026-02-16T17:05:45.200997,sa_INF295_run_31.csv
SA,INF295,32,50.15000000000002,53,100.0,0.16056513786315918,2026-02-16T17:05:45.201328,2026-02-16T17:05:45.361895,sa_INF295_run_32.csv
SA,INF295,33,51.23666666666665,53,100.0,0.139754056930542,2026-02-16T17:05:45.362279,2026-02-16T17:05:45.502033,sa_INF295_run_33.csv
SA,INF295,34,50.00000000000001,52,98.11320754716981,0.15850496292114258,2026-02-16T17:05:45.502420,2026-02-16T17:05:45.660926,sa_INF295_run_34.csv
SA,INF295,35,51.23666666666665,53,100.0,0.15428900718688965,2026-02-16T17:05:45.661299,2026-02-16T17:05:45.815589,sa_INF295_run_35.csv
SA,INF295,36,50.15000000000002,53,100.0,0.167341947555542,2026-02-16T17:05:45.816010,2026-02-16T17:05:45.983352,sa_INF295_run_36.csv
SA,INF295,37,50.00000000000001,52,98.11320754716981,0.15531396865844727,2026-02-16T17:05:45.983694,2026-02-16T17:05:46.139010,sa_INF295_run_37.csv
SA,INF295,38,50.279999999999994,52,98.11320754716981,0.1731107234954834,2026-02-16T17:05:46.139397,2026-02-16T17:05:46.312509,sa_INF295_run_38.csv
SA,INF295,39,50.279999999999994,52,98.11320754716981,0.1656951904296875,2026-02-16T17:05:46.312912,2026-02-16T17:05:46.478609,sa_INF295_run_39.csv
SA,INF295,40,50.279999999999994,52,98.11320754716981,0.16828608512878418,2026-02-16T17:05:46.479001,2026-02-16T17:05:46.647287,sa_INF295_run_40.csv
SA,INF295,41,50.25666666666669,53,100.0,0.16388916969299316,2026-02-16T17:05:46.648734,2026-02-16T17:05:46.812623,sa_INF295_run_41.csv
SA,INF295,42,51.23666666666665,53,100.0,0.1594223976135254,2026-02-16T17:05:46.812988,2026-02-16T17:05:46.972412,sa_INF295_run_42.csv
SA,INF295,43,50.05000000000001,52,98.11320754716981,0.14652705192565918,2026-02-16T17:05:46.973833,2026-02-16T17:05:47.120361,sa_INF295_run_43.csv
SA,INF295,44,50.00000000000001,52,98.11320754716981,0.14639520645141602,2026-02-16T17:05:47.120734,2026-02-16T17:05:47.267130,sa_INF295_run_44.csv
SA,INF295,45,51.23666666666665,53,100.0,0.1540060043334961,2026-02-16T17:05:47.268281,2026-02-16T17:05:47.422289,sa_INF295_run_45.csv
SA,INF295,46,50.00000000000001,52,98.11320754716981,0.14828109741210938,2026-02-16T17:05:47.423416,2026-02-16T17:05:47.571698,sa_INF295_run_46.csv
SA,INF295,47,50.00000000000001,52,98.11320754716981,0.1545109748840332,2026-02-16T17:05:47.573314,2026-02-16T17:05:47.727827,sa_INF295_run_47.csv
SA,INF295,48,50.00000000000001,52,98.11320754716981,0.1905207633972168,2026-02-16T17:05:47.728196,2026-02-16T17:05:47.918718,sa_INF295_run_48.csv
SA,INF295,49,50.279999999999994,52,98.11320754716981,0.17313623428344727,2026-02-16T17:05:47.919526,2026-02-16T17:05:48.092666,sa_INF295_run_49.csv
SA,INF295,50,50.279999999999994,52,98.11320754716981,0.189774751663208,2026-02-16T17:05:48.095899,2026-02-16T17:05:48.285674,sa_INF295_run_50.csv
SA,INF295,51,50.25666666666667,53,100.0,0.14489102363586426,2026-02-16T17:05:48.286041,2026-02-16T17:05:48.430933,sa_INF295_run_51.csv
SA,INF295,52,50.279999999999994,52,98.11320754716981,0.15124821662902832,2026-02-16T17:05:48.431367,2026-02-16T17:05:48.582616,sa_INF295_run_52.csv
SA,INF295,53,50.279999999999994,52,98.11320754716981,0.16570305824279785,2026-02-16T17:05:48.582984,2026-02-16T17:05:48.748689,sa_INF295_run_53.csv
SA,INF295,54,50.11,53,100.0,0.14912772178649902,2026-02-16T17:05:48.749057,2026-02-16T17:05:48.898185,sa_INF295_run_54.csv
SA,INF295,55,50.596666666666664,53,100.0,0.15373587608337402,2026-02-16T17:05:48.898542,2026-02-16T17:05:49.052279,sa_INF295_run_55.csv
SA,INF295,56,50.05000000000001,52,98.11320754716981,0.14662599563598633,2026-02-16T17:05:49.052631,2026-02-16T17:05:49.199259,sa_INF295_run_56.csv
SA,INF295,57,50.18333333333336,53,100.0,0.16170287132263184,2026-02-16T17:05:49.199629,2026-02-16T17:05:49.361332,sa_INF295_run_57.csv
SA,INF295,58,50.00000000000001,52,98.11320754716981,0.1533200740814209,2026-02-16T17:05:49.361681,2026-02-16T17:05:49.515003,sa_INF295_run_58.csv
SA,INF295,59,50.279999999999994,52,98.11320754716981,0.165632963180542,2026-02-16T17:05:49.516309,2026-02-16T17:05:49.681944,sa_INF295_run_59.csv
SA,INF295,60,50.00000000000001,52,98.11320754716981,0.16255402565002441,2026-02-16T17:05:49.682340,2026-02-16T17:05:49.844895,sa_INF295_run_60.csv
SA,INF295,61,50.279999999999994,52,98.11320754716981,0.15980172157287598,2026-02-16T17:05:49.845271,2026-02-16T17:05:50.005074,sa_INF295_run_61.csv
SA,INF295,62,50.279999999999994,52,98.11320754716981,0.1567537784576416,2026-02-16T17:05:50.005444,2026-02-16T17:05:50.162198,sa_INF295_run_62.csv
SA,INF295,63,50.733333333333356,53,100.0,0.1537919044494629,2026-02-16T17:05:50.163520,2026-02-16T17:05:50.317313,sa_INF295_run_63.csv
SA,INF295,64,50.00000000000001,52,98.11320754716981,0.15325403213500977,2026-02-16T17:05:50.317682,2026-02-16T17:05:50.470937,sa_INF295_run_64.csv
